Location,StartDate,StartTime,EndDate,EndTime,Title,Category,Description
2,02-14-2018,0:00:00,02-18-2018,23:59:00,Nghỉ lễ,Holiday,Description74
2,04-25-2018,0:00:00,04-25-2018,23:59:00,Nghỉ lễ,Holiday,Description75
2,04-30-2018,0:00:00,05-01-2018,23:59:00,Nghỉ lễ,Holiday,Description76
2,09-02-2018,0:00:00,09-02-2018,23:59:00,Nghỉ lễ,Holiday,Description77
2,02-12-2018,0:00:00,02-13-2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description78
2,02-19-2018,0:00:00,02-20-2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description79
2,09-03-2018,0:00:00,09-03-2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description80
2,12-31-2018,0:00:00,12-31-2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description81
1,1-1-2018,0:00:00,1-1-2018,23:59:00,Nghỉ lễ,Compensation Day-Off,Description2
1,2-14-2018,0:00:00,2-18-2018,23:59:00,Nghỉ lễ,Compensation Day-Off,Description2
1,4-25-2018,0:00:00,4-25-2018,23:59:00,Nghỉ lễ,Compensation Day-Off,Description2
1,4-30-2018,0:00:00,4-30-2018,23:59:00,Nghỉ lễ,Compensation Day-Off,Description2
1,5-1-2018,0:00:00,5-1-2018,23:59:00,Nghỉ lễ,Compensation Day-Off,Description2
1,9-2-2018,0:00:00,9-2-2018,23:59:00,Nghỉ lễ,Compensation Day-Off,Description2
1,2-12-2018,0:00:00,2-13-2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description80
1,2-19-2018,0:00:00,2-20-2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description80
1,9-3-2018,0:00:00,9-3-2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description80
1,12-31-2018,0:00:00,12-31-2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description80
1,1-6-2018,0:00:00,1-7-2018,23:59:00,Nghỉ cuối tuần,Weekend,Description107
